id,ibm_date,ibm_score,ibm_label,ibm_content
wired,2023-10-27T11:00:00Z,-0.5961,negative,"In lithium-ion batteries, thats no longer the case. Modern batteries are capable of reading their state no matter their level of charge, and when your device isnt in use the strain on the battery is … [+3255 chars]"
the-verge,2023-10-27T00:16:44Z,-0.8783,negative,"Ford hits the brakes on $12 billion in EV spending because EVs are too expensive
Ford hits the brakes on $12 billion in EV spending because EVs are too expensive
 / The car company says it isnt bac… [+2216 chars]"
ars-technica,2023-10-31T11:00:53Z,0.2886,positive,"Enlarge/ GreenPower has given its class-D electric school bus a big battery bump.
39 with 
On Tuesday morning, the West Virginia-based GreenPower Motor Company debuted its latest electric vehicle. … [+4366 chars]"
business-insider,2023-10-22T09:43:12Z,0.6452,positive,"Wuling Hongguang Mini EVs on display at the Shanghai auto expo.VCG/VCG via Getty Images
<ul>
<li>China has led the world in production and sales of electric vehicles, helped by government subsidies.… [+6141 chars]"
the-next-web,2023-10-24T04:03:53Z,0.6209,positive,"In a big boost to sustainable mobility, 130 million EVs are expected to hit Europes streets by 2035, reaching about half of the total vehicles on the continent. However, this also translates to 130 m… [+3822 chars]"
the-next-web,2023-10-23T04:00:52Z,0.908,positive,"Norwegian tech company AutoStore today unveiled the latest version of its warehouse storage and retrieval robot, as it seeks to boost the efficiency of its automated fulfilment system. 
Dubbed the R… [+3374 chars]"
business-insider,2023-10-18T23:13:29Z,-0.676,negative,"When something enters Earth's atmosphere, it's typically in a fiery blaze.solarseven/Getty Images
<ul>
<li>Scientists have discovered evidence of various pollutant metals in Earth's stratosphere.</l… [+1984 chars]"
engadget,2023-10-22T14:30:46Z,0.0,neutral,Space isn't hard only on account of the rocket science. The task of taking a NASA mission from development and funding through construction and launch all before we even use the thing for science can… [+11147 chars]
business-insider,2023-10-29T12:19:01Z,0.6035,positive,"The National Spherical Torus Experiment-Upgrade (NSTX-U) at the Princeton Plasma Physics Laboratory.Elle Starkman, PPPL
<ul>
<li>It's been almost 90 years since scientists made the first fusion reac… [+8038 chars]"
time,2023-10-19T20:32:08Z,0.0,neutral,"In her new book, The Woman in Me, Britney Spears details the extent of her family's attempts to control her life and her considerable estate through a conservatorship for 13 years. She suggests that … [+3975 chars]"
time,2023-10-19T21:13:59Z,0.0,neutral,"The rocky relationship between Britney Spears and her younger sister, Jamie Lynn Spears, has long been documented in the press. In January 2022, Britney sent Jamie Lynn a cease and desist letter, ask… [+5806 chars]"
ars-technica,2023-10-16T15:38:19Z,0.8393,positive,"Enlarge/ The back of the 2019 iPad Air.
13 with 
Whether you're shopping for a new laptop or you're looking to build your own PC, we found some great savings for you with some post-Prime Day sales.… [+12394 chars]"
cbs-news,2023-10-23T19:46:00Z,-0.629,negative,"Riders of Toos Elite 60-volt electric scooters are being urged to find another means of travel immediately, after the deaths of two people in a fire caused by the product.
The urgent warning to stop… [+1457 chars]"
next-big-future,2023-10-25T15:47:05Z,0.0,neutral,Brian Wang is a Futurist Thought Leader and a popular Science blogger with 1 million readers per month. His blog Nextbigfuture.com is ranked #1 Science News Blog. It covers many disruptive technology… [+593 chars]
new-scientist,2023-10-31T15:00:23Z,0.6051,positive,"Passive cooling could be more efficient using a device containing a salty water solution
daniiD/Shutterstock
Computers could see their performance jump by one third through an inexpensive cooling s… [+2046 chars]"
cbs-news,2023-10-17T16:39:14Z,-0.7609,negative,"As e-scooters, hoverboards and e-bikes increase in popularity, emergency rooms are seeing a surge in injuries — fractures, contusions, burns and cuts — related to the products, continuing a multiyear… [+1968 chars]"
fortune,2023-10-19T14:46:55Z,-0.8252,negative,"With the growing popularity of disposable e-cigarettes, communities across the U.S. are confronting a new vaping problem: how to safely get rid of millions of small, battery-powered devices that are … [+7951 chars]"
fortune,2023-10-31T20:37:05Z,0.0,neutral,"Toyota will invest an additional $8 billion in the hybrid and electric vehicle battery factory its constructing in North Carolina, more than doubling its prior investments and expected number of new … [+3679 chars]"
new-scientist,2023-10-24T11:54:42Z,0.8984,positive,"Solid-state batteries could be lighter and more powerful than current batteries
Phonlamai Photo/Shutterstock
Toyota says it has made a breakthrough that will allow “game-changing” solid-state batte… [+3641 chars]"
techradar,2023-10-16T11:11:58Z,0.0,neutral,"Mercedes-Benz launched the series production version of its eActros 600 battery-electric long-haul truck last week, signifying its intent to assist in phasing out diesel counterparts in the coming ye… [+3861 chars]"
cbs-news,2023-10-17T13:39:48Z,0.651,positive,"Remote Retriever via CBS Deals
This week on ""CBS Mornings,"" lifestyle expert Elizabeth Werner discussed deals on items that might make your life easier -- all at exclusive discounts. Discover this w… [+1904 chars]"
newsweek,2023-10-23T20:49:19Z,-0.952,negative,"U.S. consumers are being strongly warned against using a brand of electric scooters after reports found that a malfunctioning battery caused a fire earlier this year that killed two people, including… [+2738 chars]"
abc-news,2023-10-31T13:42:59Z,0.0,neutral,"RALEIGH, N.C. -- Toyota will invest an additional $8 billion in the hybrid and electric vehicle battery factory it's constructing in North Carolina, more than doubling its prior investments and expec… [+3480 chars]"
fortune,2023-10-31T11:15:22Z,-0.6701,negative,"Since Russian President Vladimir Putin invaded Ukraine, most of the attention has focused on Russias imagined security dangers on its western border, the threat of Ukraines democratic success as a mo… [+5789 chars]"
breitbart-news,2023-10-16T19:28:25Z,0.6588,positive,"The Taliban jihadist regime in Afghanistan sent its Industry and Commerce Minister Nooruddin Azizi to Beijing on Monday to attend this week’s “Belt and Road Forum,” a celebration of ten years of Chin… [+6220 chars]"
breitbart-news,2023-10-19T15:47:29Z,0.0,neutral,"Haji Nooruddin Azizi, the acting commerce minister for the Taliban regime, announced on Thursday that the terrorist organization plans to formally join Chinas Belt and Road Initiative (BRI) and will … [+4762 chars]"
abc-news,2023-11-01T06:22:34Z,0.6487,positive,"TOKYO -- Toyotas July-September profit jumped nearly threefold from a year ago as vehicle sales grew around the world and a cheap yen boosted the Japanese automakers overseas earnings.
Toyota Motor … [+2983 chars]"
abc-news,2023-10-19T12:22:30Z,-0.8907,negative,"WASHINGTON -- With the growing popularity of disposable e-cigarettes, communities across the U.S. are confronting a new vaping problem: how to safely get rid of millions of small, battery-powered dev… [+8104 chars]"
abc-news,2023-10-29T08:06:27Z,0.6301,positive,TOKYO -- Trade and economy officials from the Group of Seven wealthy democracies strengthened their pledge Sunday to work together to ensure smooth supply chains for essentials like energy and food d… [+3548 chars]
new-scientist,2023-10-30T19:00:25Z,0.0,neutral,"The Athel tamarisk has ingenious ways of surviving in a dry climate
Shutterstock / Wirestock Creators
An evergreen desert shrub common in the Middle East excretes salt crystals onto its leaves that… [+2510 chars]"
