id,ibm_date,ibm_score,ibm_label,ibm_content
wired,2023-10-27T11:00:00Z,-0.5961,negative,"In lithium-ion batteries, thats no longer the case. Modern batteries are capable of reading their state no matter their level of charge, and when your device isnt in use the strain on the battery is … [+3255 chars]"
the-verge,2023-11-07T14:00:00Z,0.6783,positive,"Redwood Materials will recycle stationary storage batteries as it expands its scope
Redwood Materials will recycle stationary storage batteries as it expands its scope
 / The company is recycling b… [+3842 chars]"
the-verge,2023-10-27T00:16:44Z,-0.8783,negative,"Ford hits the brakes on $12 billion in EV spending because EVs are too expensive
Ford hits the brakes on $12 billion in EV spending because EVs are too expensive
 / The car company says it isnt bac… [+2216 chars]"
ars-technica,2023-10-31T11:00:53Z,0.2886,positive,"Enlarge/ GreenPower has given its class-D electric school bus a big battery bump.
39 with 
On Tuesday morning, the West Virginia-based GreenPower Motor Company debuted its latest electric vehicle. … [+4366 chars]"
ars-technica,2023-11-13T18:59:10Z,0.0,neutral,"Enlarge/ These are piles of lithium harvested in Bolivia; Exxon's site in Arkansas will look almost entirely unlike this as it will use direct lithium extraction, not evaporation, to harvest the mine… [+1611 chars]"
business-insider,2023-11-03T16:37:44Z,-0.5678,negative,"BP's EV charging arm has bought $100 million worth of Tesla Superchargers.BP
<ul><li>Big Oil companies have dreams of becoming Big EV. </li><li>Fossil fuel heavyweights are making investments in EV … [+2964 chars]"
time,2023-11-07T14:41:00Z,-0.7521,negative,"A lithium-ion battery recycler and a program to end illegal fishing are among the winners of Prince Williams Earthshot Prize, which supports companies tackling the environmental crisis.
The five cha… [+2296 chars]"
abc-news,2023-11-14T20:30:35Z,-0.7716,negative,"NEW YORK -- New York City officials say retailers and food delivery companies must do more to halt the proliferation of unsafe e-bike and e-scooter batteries, after a fire blamed on an electric scoot… [+3372 chars]"
business-insider,2023-11-04T16:39:51Z,-0.7674,negative,"Jimmy Levy appeared on the 2019 season of ""American Idol.""Eliza Morse/ABC via Getty Images
<ul>
<li>Former 'American Idol' star Jimmy Levy's bag caught fire while his JetBlue flight sat at the gate.… [+2937 chars]"
business-insider,2023-11-13T09:00:02Z,-0.392,negative,"Your fake AirPods may be able to fool others at a glance, but Lumafield used a CT scanner to show what's really going on with counterfeits.Jon Bruner/Lumafield
<ul>
<li>There are some major differen… [+3413 chars]"
the-next-web,2023-11-16T13:37:46Z,0.0,neutral,"For UK battery startup NyoBolt, six seems to be the magic number. First, in June it showcased an EV that could be fully charged in just six minutes (a claimed record). And today it unveiled a new kin… [+3589 chars]"
business-insider,2023-10-29T12:19:01Z,0.6035,positive,"The National Spherical Torus Experiment-Upgrade (NSTX-U) at the Princeton Plasma Physics Laboratory.Elle Starkman, PPPL
<ul>
<li>It's been almost 90 years since scientists made the first fusion reac… [+8038 chars]"
al-jazeera-english,2023-11-07T15:06:19Z,0.0,neutral,Portuguese Prime Minister Antonio Costa has said he is resigning amid an investigation into into alleged irregularities committed by his administration in handling lithium mining and hydrogen project… [+742 chars]
the-next-web,2023-11-10T07:00:50Z,0.838,positive,"Climate tech is receiving a proportionally larger share of what is, undeniably, a muted venture capital investment environment. VC and private equity investment in the sector has, thus far in 2023, f… [+8154 chars]"
